,count,mean,std,min,25%,50%,75%,max,year
maturity_date,50000.0,203850.33742,697.1844762553723,202102.0,202812.0,204305.0,204309.0,204501.0,2013
MSA,44525.0,30332.662324536777,11362.29056461263,10180.0,19124.0,32580.0,40140.0,49740.0,2013
MI%,50000.0,4.84766,10.400137296278938,0.0,0.0,0.0,0.0,35.0,2013
unit,50000.0,1.02818,0.2238456828660199,1.0,1.0,1.0,1.0,4.0,2013
CLTV,50000.0,72.0364,17.90587298753127,7.0,63.0,76.0,80.0,999.0,2013
DTI_rat,50000.0,32.34962,11.46201960447712,1.0,25.0,33.0,40.0,999.0,2013
UPB,50000.0,217599.68,117696.4170773357,10000.0,126000.0,193000.0,290000.0,968000.0,2013
LTV,50000.0,71.24146,18.06980263931482,6.0,62.0,75.0,80.0,999.0,2013
interest_rate,50000.0,3.8480639399999905,0.6347063361699762,2.25,3.49,3.75,4.375,6.25,2013
post_code,50000.0,53269.254,30270.381979817874,600.0,28100.0,53000.0,81000.0,99900.0,2013
term,50000.0,304.20042,83.39644759327778,96.0,180.0,360.0,360.0,366.0,2013
borrowers,50000.0,1.56452,0.4958246529186227,1.0,1.0,2.0,2.0,2.0,2013
score,50000.0,751.72766,73.20342878420428,600.0,721.0,760.0,788.0,9999.0,2014
pay1_date,50000.0,201423.4884,35.37581454052154,201402.0,201406.0,201409.0,201412.0,201512.0,2014
maturity_date,50000.0,204099.56596,608.5630780367762,202209.0,204402.0,204406.0,204410.0,204511.0,2014
MSA,44970.0,30316.147876362018,11342.677708217181,10180.0,19124.0,31540.0,40140.0,49740.0,2014
MI%,50000.0,7.07446,12.050421567800486,0.0,0.0,0.0,12.0,40.0,2014
unit,50000.0,1.03062,0.23478398171592552,1.0,1.0,1.0,1.0,4.0,2014
CLTV,50000.0,75.58336,16.67866945144966,7.0,69.0,80.0,88.0,999.0,2014
DTI_rat,50000.0,33.76806,11.030703393924838,1.0,27.0,35.0,41.0,999.0,2014
UPB,50000.0,219868.1,119573.11009158795,11000.0,128000.0,196000.0,294000.0,1144000.0,2014
LTV,50000.0,75.07906,16.765146910167836,7.0,68.0,80.0,85.0,999.0,2014
interest_rate,50000.0,4.287931419999941,0.4569166034326146,2.625,4.125,4.375,4.625,5.75,2014
post_code,50000.0,55547.62,29849.3446896723,600.0,30100.0,55300.0,84100.0,99900.0,2014
term,50000.0,322.11484,73.033275217282,96.0,360.0,360.0,360.0,360.0,2014
borrowers,50000.0,1.52044,0.49958702759764245,1.0,1.0,2.0,2.0,2.0,2014
score,50000.0,751.74064,44.0286672846372,601.0,720.0,760.0,788.0,832.0,2015
pay1_date,50000.0,201523.12238,35.04321166316839,201502.0,201506.0,201509.0,201512.0,201611.0,2015
maturity_date,50000.0,204164.18406,622.8961805110073,202303.0,204101.0,204506.0,204510.0,204610.0,2015
MSA,45154.0,30329.453248881604,11279.384356030534,10180.0,19380.0,31540.0,40140.0,49740.0,2015
